Date,Open,High,Low,Close,Adj Close,Volume
2023-08-12,26794.462891,26878.560547,26705.857422,26831.294922,26831.294922,9305130013
2023-08-13,26833.185547,26892.808594,26794.669922,26847.951172,26847.951172,5653590554
2023-08-14,26848.525391,26871.195313,26743.679688,26758.697266,26758.697266,6698052713
2023-08-15,26759.015625,27126.171875,26637.867188,26960.865234,26960.865234,12847377485
2023-08-16,26960.505859,26901.498047,26674.798828,26752.154297,26752.154297,11592336189
2023-08-17,26750.986328,26794.564453,26393.152344,26393.152344,26393.152344,13746827219
2023-08-18,26391.333984,26446.816406,23373.714844,24520.585938,24520.585938,28618579170
2023-08-19,24494.404297,24655.845703,23596.927734,23921.724609,23921.724609,22063677425
2023-08-20,23920.142578,24105.289063,23694.763672,23964.562500,23964.562500,9763024956
2023-08-21,23965.166016,24155.755859,23880.179688,24081.244141,24081.244141,8309108586
2023-08-22,24080.421875,24065.949219,23741.984375,23971.851563,23971.851563,12269915353
2023-08-23,23977.914063,23987.117188,23533.328125,23999.806641,23999.806641,13371753989
2023-08-24,24007.937500,24651.097656,23857.650391,24326.121094,24326.121094,15632236498
2023-08-25,24326.011719,24454.257813,23956.742188,24227.376953,24227.376953,11919540643
2023-08-26,24228.587891,24234.349609,23941.740234,24129.414063,24129.414063,11492414331
2023-08-27,24129.011719,24184.732422,24070.322266,24093.095703,24093.095703,5590389230
2023-08-28,24092.890625,24238.449219,24052.923828,24163.882813,24163.882813,6403428781
2023-08-29,24163.810547,24243.509766,23932.878906,24115.007813,24115.007813,10163610214
2023-08-30,24111.623047,25887.892578,23967.394531,25509.867188,25509.867188,27019625216
2023-08-31,25508.662109,25539.486328,24772.763672,24975.578125,24975.578125,14953594670
2023-09-01,24979.845703,25271.097656,23752.982422,23916.753906,23916.753906,18613058724
2023-09-02,23919.103516,24086.718750,23508.601563,23917.246094,23917.246094,15947036076
2023-09-03,23917.417969,24074.427734,23873.091797,23980.349609,23980.349609,9363049087
2023-09-04,23980.974609,24161.787109,23911.605469,24071.607422,24071.607422,8307507381
2023-09-05,24070.312500,24181.355469,23767.308594,23919.564453,23919.564453,9897413453
2023-09-06,23921.921875,24137.240234,23726.884766,24037.847656,24037.847656,10344990792
2023-09-07,24041.529297,24192.181641,23694.646484,24014.712891,24014.712891,11891808448
2023-09-08,24010.121094,24686.888672,23952.195313,24530.304688,24530.304688,10365759745
2023-09-09,24534.992188,24654.304688,23993.216797,24194.585938,24194.585938,10102870009
2023-09-10,24194.371094,24209.830078,24105.710938,24185.269531,24185.269531,5119273334
2023-09-11,24184.832031,24251.882813,23925.748047,24104.980469,24104.980469,7371357332
2023-09-12,24104.503906,24124.251953,23192.755859,23412.441406,23412.441406,13584488417
2023-09-13,23410.583984,24645.748047,23403.671875,24023.845703,24023.845703,17350430194
2023-09-14,24027.763672,24548.669922,23960.486328,24437.322266,24437.322266,12179450287
2023-09-15,24437.279297,25165.308594,24351.880859,24954.433594,24954.433594,12986392832
2023-09-16,24948.927734,25153.759766,24606.507813,24936.523438,24936.523438,10758314752
2023-09-17,24934.185547,25073.419922,24810.191406,24898.650391,24898.650391,6936865556
2023-09-18,24898.318359,24938.402344,24783.187500,24872.564453,24872.564453,6349996049
2023-09-19,24871.445313,25725.355469,24753.900391,25021.539063,25021.539063,14604012182
2023-09-20,25027.683594,25734.210938,24952.451172,25474.994141,25474.994141,12926732278
2023-09-21,25474.162109,25619.441406,25169.361328,25475.597656,25475.597656,12470304435
2023-09-22,25473.562500,25533.726563,24798.580078,24921.820313,24921.820313,12543109513
2023-09-23,24918.466797,25111.501953,24866.294922,24924.990234,24924.990234,9920219726
2023-09-24,24924.041016,24976.207031,24869.617188,24924.822266,24924.822266,6943757707
2023-09-25,24924.808594,25032.384766,24622.509766,24657.968750,24657.968750,7693979394
2023-09-26,24655.103516,24945.947266,24474.373047,24829.972656,24829.972656,11327874247
2023-09-27,24826.458984,24927.884766,24677.222656,24805.451172,24805.451172,9447779085
2023-09-28,24798.117188,25445.197266,24886.236328,25085.046875,25085.046875,11154679998
2023-09-29,25087.992188,25788.466797,25071.955078,25581.568359,25581.568359,13328732653
2023-09-30,25584.687500,25664.966797,25266.656250,25435.613281,25435.613281,9826190897
2023-10-01,25435.583984,25605.810547,25414.107422,25488.726563,25488.726563,5038757973
2023-10-02,25488.236328,26554.115234,25486.058594,26488.859375,26488.859375,8996218165
2023-10-03,26482.279297,27102.021484,26096.462891,26269.957031,26269.957031,18886579408
2023-10-04,26248.457031,26427.730469,25990.328125,26202.021484,26202.021484,10897120569
2023-10-05,26201.158203,26480.738281,26008.781250,26458.601563,26458.601563,10605900143
2023-10-06,26457.890625,26689.291016,25988.699219,25995.521484,25995.521484,11261905035
2023-10-07,25991.927734,26668.982422,25928.066406,26380.189453,26380.189453,12736143050
2023-10-08,26380.365234,26457.117188,26308.287109,26401.185547,26401.185547,6185746183
2023-10-09,26403.865234,26527.042969,26166.601563,26437.544922,26437.544922,7492467439
2023-10-10,26436.960938,26502.417969,25910.431641,26074.796875,26074.796875,11350825082
2023-10-11,26080.017578,26159.824219,25759.330078,25829.869141,25829.869141,9404919556
2023-10-12,25830.863281,25902.541016,25090.888672,25296.394531,25296.394531,12847224158
2023-10-13,25296.367188,25341.230469,25199.677734,25396.322266,25396.322266,8915317429
2023-10-14,25392.603516,25771.900391,25404.685547,25552.808594,25552.808594,14425988685
2023-10-15,25556.449219,25654.234375,25507.349609,25552.171875,25552.171875,5125440701
2023-10-16,25548.656250,25936.964844,25510.494141,25811.175781,25811.175781,6745776251
